basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
tsug3,92098,27 26 1 0 0,,,,76 60 20 11 38,,,,,62 53 9 11 22
tthd,120000,14 14 0 9 0,41 44 20 33 0,62 59 16 68 22,98 109 36 21 104,,,40 44 14 33 0,60 59 10 55 20,94 109 34 53 102,
ttim,106433,12 14 3 0 0,24 24 1 61 0,39 28 0 15 8,47 38 0 43 20,,,24 24 0 61 0,39 28 0 16 8,47 38 0 43 20,
ttlg,99694,18 21 3 0 0,23 27 7 22 0,44 37 14 30 16,50 59 25 32 32,,,23 27 7 22 0,44 37 14 34 16,50 59 27 32 32,
tubt,76309,12 13 5 0 0,28 34 7 0 2,33 34 12 0 6,40 39 20 0 11,,,30 30 12 0 2,38 34 12 0 9,40 34 41 0 13,
tuio,108922,12 10 1 33 0,19 21 7 39 0,38 38 3 37 6,55 43 12 49 33,,,19 21 7 39 0,38 38 3 37 6,53 43 16 36 29,
tuke,99311,19 24 0 0 0,30 30 3 13 0,47 42 20 25 7,60 42 27 30 18,66 42 54 20 18,,30 30 1 17 0,47 42 20 25 7,60 42 23 30 18,65 42 45 30 18
tumu,99000,14 20 0 23 0,28 33 5 55 0,44 53 7 70 14,64 53 20 54 32,98 100 36 18 101,,28 33 5 55 0,44 53 5 64 14,63 53 16 54 30,93 93 34 18 94
turn,88927,17 28 0 0 0,37 28 0 0 0,62 42 0 0 15,67 56 0 0 25,,,48 42 10 0 1,62 56 18 0 14,73 63 34 0 25,
twen,69226,17 21 10 0 0,35 32 20 0 0,38 32 20 0 3,56 65 49 0 25,,,41 43 9 0 4,56 54 45 0 23,60 65 29 23 46,
twil,86079,21 23 7 0 0,25 28 12 25 0,50 46 36 18 9,75 57 16 34 86,,,34 34 27 21 0,47 40 30 30 10,67 57 34 10 43,
twin,105403,17 30 1 21 0,29 38 1 24 0,54 61 47 21 5,68 61 41 57 27,62 61 165 80 2,,29 38 1 26 0,54 61 38 26 5,67 61 38 28 25,62 61 162 81 2
twis,86944,,32 32 5 0 0,48 45 18 0 11,76 52 7 0 35,,,28 32 7 0 0,54 52 43 0 9,68 52 5 0 28,
twiw,102123,20 23 9 30 0,37 39 21 74 2,51 62 36 83 17,65 70 63 79 40,,,35 39 20 71 2,51 62 36 81 18,65 70 52 80 39,
twme,127500,16 20 5 8 0,28 33 14 47 0,42 40 12 38 9,59 53 49 44 23,,,28 33 14 47 0,42 40 5 42 9,57 53 34 47 21,
twog,104475,26 21 1 0 0,43 49 30 37 0,57 56 36 33 26,87 77 74 49 104,,,41 42 25 36 0,55 56 60 28 24,87 77 63 45 105,
twom,102211,14 17 3 0 0,27 29 1 9 0,42 35 14 26 6,60 52 56 21 38,,,28 29 1 9 0,41 35 16 25 6,64 52 23 55 39,
tyco,105881,7 7 0 0 0,23 28 10 30 0,43 49 30 56 7,78 63 30 45 37,,,25 28 16 48 0,47 49 21 48 8,79 63 27 48 38,
tynh,124948,10 13 12 40 0,22 22 3 73 0,37 31 10 32 11,50 40 27 51 39,64 63 32 34 74,,22 22 3 73 0,37 31 10 32 11,51 50 27 51 43,65 63 32 33 78
typh,132533,23 34 9 26 0,51 51 12 46 9,82 68 20 27 64,115 118 38 25 108,,,51 51 7 39 9,78 68 14 30 55,103 101 25 25 105,
u80s,97049,17 26 5 0 0,30 32 38 0 0,40 32 27 24 1,45 42 36 11 9,,14 32 9 0 0,34 32 43 42 0,43 37 34 34 4,52 42 5 0 14,
u8bit,102861,14 17 7 9 0,23 26 9 59 0,50 69 21 86 4,67 69 40 42 25,,15 17 9 9 0,26 34 3 11 0,52 69 21 48 5,73 69 16 23 32,
uacti,109560,18 17 1 6 0,25 28 7 10 0,44 40 16 49 9,62 46 18 32 30,,18 23 3 6 0,25 28 7 10 0,44 40 14 49 9,62 46 18 32 30,
uaki2,109683,11 16 1 0 0,16 26 10 0 0,46 42 25 7 21,69 74 25 3 77,80 85 25 24 101,,16 16 10 0 0,46 42 23 7 20,68 74 23 3 74,78 85 23 24 100
uakib,103388,19 22 7 0 0,22 22 10 84 0,39 44 41 51 9,59 55 30 41 51,,19 22 7 0 0,22 22 10 84 0,39 44 41 51 9,59 55 30 40 51,
ualic,103698,7 7 0 0 0,14 11 0 0 0,30 23 0 27 5,40 31 3 83 14,,,13 11 0 27 0,30 23 0 27 5,39 31 3 83 14,
uallo,92312,11 10 0 0 0,15 16 0 0 0,40 31 0 9 5,51 42 0 128 21,,,15 16 0 0 0,40 31 0 9 6,51 42 0 129 21,
ualup,99997,17 18 5 14 0,34 24 0 14 0,48 42 3 7 7,62 48 56 17 33,,17 18 5 7 0,34 24 0 14 0,48 42 3 7 7,62 48 56 15 33,
ualwa,101704,16 19 1 8 0,27 19 1 15 0,42 34 10 7 6,52 39 21 20 18,,16 14 1 8 0,27 19 1 14 0,42 34 10 7 6,59 54 27 45 37,
uange,96133,13 10 1 4 0,19 21 1 12 0,42 31 10 43 7,56 47 7 65 50,,,24 21 0 16 0,38 31 12 30 6,57 47 12 51 22,
uanth,89603,16 18 0 15 0,28 24 1 5 0,43 42 25 25 4,76 66 7 6 63,,16 18 0 0 0,27 24 0 2 0,43 42 23 26 4,74 66 18 5 52,
uanyt,96741,15 16 1 8 0,28 26 7 15 0,38 48 29 21 6,43 43 16 28 9,,15 16 1 8 0,28 26 7 15 0,38 48 30 21 6,43 43 16 28 9,
uapac,97947,9 9 5 0 0,21 19 7 0 0,35 29 10 11 3,52 44 25 20 25,,13 14 5 0 0,20 19 12 0 0,44 34 20 37 11,55 44 18 24 25,
uarri,106543,12 12 1 3 0,27 25 10 8 0,42 38 7 7 3,58 44 25 21 13,,14 12 0 0 0,19 25 5 6 0,49 44 7 12 6,54 51 14 7 10,
uatla,94163,18 20 1 13 0,26 26 5 31 0,45 46 29 54 5,67 60 30 21 33,,18 20 1 13 0,26 26 5 31 0,45 46 29 54 5,67 60 21 14 33,
uatom,99551,16 16 0 5 0,29 28 1 5 0,37 45 21 19 4,55 45 14 8 37,,16 16 0 5 0,30 28 1 5 0,37 45 21 19 4,55 45 14 8 37,
ubadt,108167,15 17 3 6 0,29 29 7 20 0,40 47 41 26 8,51 53 34 18 17,,15 17 3 10 0,29 29 5 20 0,39 47 47 31 7,47 47 38 25 16,
ubebo,90300,10 12 3 0 0,18 18 3 0 0,54 50 34 15 16,71 56 20 5 47,,,17 18 9 0 0,53 50 23 10 15,68 56 18 6 44,
uber,96554,24 29 0 0 0,40 43 9 37 0,59 50 23 22 11,83 72 40 29 38,153 108 25 26 109,,37 58 9 23 0,57 50 1 18 8,80 72 32 13 34,161 100 9 20 109
ubett,98827,15 17 1 0 0,29 34 7 3 0,46 39 14 19 9,56 51 23 30 30,,12 11 0 0 0,23 22 3 16 0,47 45 12 5 12,57 45 10 39 27,
ubeyo,105441,15 17 12 14 0,22 22 7 35 0,41 39 12 48 11,53 45 38 80 14,,16 17 1 0 0,28 22 3 27 0,40 39 21 64 4,58 45 23 7 20,
ubjor,100839,14 17 3 14 0,24 28 7 19 0,39 40 14 28 8,62 46 23 14 24,,13 11 0 14 0,26 23 0 34 0,39 40 16 28 8,60 51 30 9 21,
ublv,111089,30 34 5 16 0,39 48 14 81 0,63 55 21 82 21,87 105 32 88 76,153 105 38 29 112,,40 48 10 77 0,62 55 23 82 20,84 105 34 77 63,158 105 32 24 111
ubmor,89144,10 11 12 2 0,28 29 10 20 0,42 35 20 42 2,53 46 10 23 18,,10 11 12 2 0,28 29 10 20 0,42 35 20 42 2,53 46 7 19 20,
ubomb,93063,13 15 5 17 0,25 21 7 39 0,40 42 41 40 4,60 47 38 49 31,,,24 21 12 21 0,41 36 20 35 6,62 42 12 8 31,
ubong,102852,16 19 3 8 0,17 24 9 17 0,42 39 14 22 11,57 53 40 9 38,,16 19 3 8 0,16 24 9 25 0,42 39 14 22 11,56 48 43 9 36,
ubout,104114,10 17 7 29 0,22 28 3 47 0,37 39 16 37 4,49 45 29 31 18,,,22 28 3 47 0,37 39 14 37 4,49 45 29 31 18,
ubrea,90433,16 17 9 0 0,28 28 10 6 0,51 40 16 0 11,66 57 12 0 66,,16 11 0 0 0,26 23 9 26 0,51 51 47 8 13,70 51 25 17 59,
ubsds,110400,17 18 0 0 0,26 24 0 26 0,46 49 21 96 5,75 98 74 67 62,,16 24 1 0 0,26 24 0 34 0,46 49 20 73 5,79 74 52 23 60,
ubsid,90907,17 16 0 0 0,24 22 1 8 0,37 38 9 20 4,42 49 38 40 14,,17 16 0 0 0,24 22 1 8 0,37 38 9 20 4,42 49 38 40 15,
ucaly,90226,11 16 5 17 0,20 21 10 11 0,26 32 16 73 0,42 38 23 17 36,,,19 21 9 11 0,26 27 12 71 0,42 38 23 17 36,
ucamo,90459,9 10 5 0 0,17 27 9 52 0,35 38 16 46 15,47 48 18 42 38,,,17 27 5 52 0,35 38 16 46 15,47 48 18 42 38,
ucan,103895,13 11 0 0 0,22 27 3 5 0,37 38 18 12 2,57 49 41 33 22,,,22 27 5 5 0,36 43 27 0 3,54 49 52 19 22,
ucanh,103095,12 16 3 15 0,24 26 5 10 0,35 42 16 15 1,57 48 18 26 30,73 69 29 18 72,,24 26 5 10 0,35 42 16 15 1,55 48 18 16 27,73 69 23 5 70
ucast,108778,15 21 3 26 0,26 26 7 58 0,44 42 21 32 9,63 58 14 29 72,,15 21 3 26 0,26 26 3 58 0,44 42 21 26 9,60 58 12 22 46,
ucelb,107724,14 20 10 0 0,26 25 16 0 0,35 45 23 0 5,42 40 32 0 15,,,26 25 16 0 0,35 45 23 0 5,42 40 32 0 15,
uch01,97846,13 16 0 4 0,29 27 1 14 0,40 38 12 37 6,52 48 12 12 22,,,29 21 1 12 0,40 38 14 28 6,52 48 12 12 22,
uch02,107200,9 9 7 0 0,18 15 10 6 0,30 21 10 58 18,44 43 18 52 57,,,18 15 10 6 0,30 21 10 45 17,44 40 20 39 55,
uch03,107520,12 15 1 7 0,18 15 3 0 0,37 36 1 16 7,56 41 1 30 24,,,19 15 1 0 0,36 36 3 11 6,57 41 1 13 24,
uch04,91109,11 13 1 47 0,22 22 5 0 0,41 40 41 16 17,51 49 38 34 45,,,22 22 5 0 0,40 40 41 16 16,51 49 38 34 45,
uch05,107885,12 17 10 3 0,22 22 10 13 0,40 39 21 36 5,64 56 18 19 38,,,21 22 10 13 0,40 39 21 35 5,66 56 18 19 45,
uch06,92812,17 13 0 3 0,27 26 0 3 0,48 46 0 0 11,68 53 18 0 29,,,27 26 0 3 0,48 46 0 0 11,68 53 18 0 29,
uch07,103094,17 17 7 0 0,31 29 1 0 0,57 47 18 11 16,63 59 43 59 32,,,31 29 1 0 0,57 47 18 11 16,63 59 41 59 32,
uch08,125538,8 8 1 4 0,11 10 5 12 0,21 19 10 4 4,48 40 5 18 100,,,11 10 5 12 0,21 19 10 4 4,48 40 5 18 100,
uch09,84811,19 16 0 36 0,26 27 25 18 0,41 38 12 41 13,48 44 52 50 22,,,26 27 20 18 0,41 38 12 41 13,48 44 54 50 22,
uch10,120000,17 18 3 0 0,20 18 3 0 0,40 30 3 0 16,48 45 21 67 79,,,19 15 7 0 0,40 30 3 0 16,46 37 14 50 46,
uch11,97800,11 12 0 5 0,18 16 0 5 0,25 20 0 5 1,36 33 0 96 10,,,18 16 0 5 0,25 20 0 5 1,36 33 0 96 10,
uch12,97800,14 12 0 0 0,24 20 5 7 0,41 41 5 1 28,63 54 9 0 95,,,24 20 5 7 0,40 25 1 1 23,63 54 9 0 95,
uch13,115423,11 13 5 5 0,21 21 1 5 0,43 35 16 7 16,58 48 27 52 55,,,21 21 1 5 0,43 35 16 7 16,58 48 27 50 55,
uch14,116930,13 17 1 12 0,26 22 10 19 0,37 34 18 31 7,43 40 18 18 16,,,26 22 10 19 0,37 34 18 31 7,43 40 14 20 16,
uch15,94594,14 15 5 4 0,24 20 0 4 0,45 36 0 27 7,69 62 1 60 67,,,24 20 0 4 0,45 36 0 27 7,70 67 1 49 68,
uch16,121534,8 9 1 0 0,14 13 0 0 0,35 29 7 20 15,44 39 7 33 66,,,14 13 0 0 0,35 29 7 20 15,44 39 7 33 66,
uch17,110304,13 18 1 4 0,20 18 9 8 0,34 32 23 44 12,49 55 20 30 50,,,20 23 10 8 0,34 32 23 44 12,49 55 20 30 50,
uch18,101760,15 10 0 0 0,27 20 0 0 0,45 36 0 0 11,68 57 14 29 45,,,27 20 0 0 0,45 36 0 0 11,68 57 14 29 45,
uch19,124633,9 9 1 8 0,14 13 5 8 0,31 27 1 8 8,42 41 7 35 22,,,14 13 5 8 0,31 27 1 8 8,42 41 7 36 22,
uch20,94145,7 8 3 8 0,14 14 10 16 0,26 22 12 20 9,33 30 5 20 38,,,14 14 9 16 0,26 22 12 20 9,33 30 5 20 38,
ucha,94000,10 15 0 24 0,27 25 7 18 0,48 50 34 34 24,72 75 34 29 100,,,26 20 3 12 0,46 40 18 24 23,68 65 18 46 85,
uchch,98021,19 17 7 3 0,26 29 5 34 0,48 35 20 18 8,66 59 36 8 39,,19 17 7 3 0,26 29 12 51 0,48 35 18 18 8,66 59 32 3 33,
uchel,98828,18 19 1 0 0,26 32 9 3 0,43 51 47 17 8,67 64 43 39 54,,16 12 1 20 0,22 25 5 20 0,43 51 40 16 12,64 51 38 11 36,
uchic,93026,17 17 0 0 0,30 23 0 0 0,49 41 21 0 13,61 47 25 3 26,,17 17 0 0 0,30 23 0 0 0,49 41 21 0 13,61 47 25 3 26,
ucica,99752,17 19 1 13 0,37 32 14 31 0,50 51 16 30 10,61 51 23 25 19,,17 19 1 13 0,37 32 14 31 0,50 51 16 30 10,61 51 23 25 19,
ucome,113864,10 5 0 0 0,21 22 0 3 0,47 45 7 40 9,60 45 3 30 31,81 68 9 14 100,,22 17 0 9 0,46 45 3 39 9,60 45 3 26 31,82 68 7 14 101
ucomo,102606,16 23 7 36 0,29 28 12 19 0,46 34 5 41 6,58 40 14 26 24,,,27 28 14 20 0,43 28 3 12 4,54 40 0 3 18,
ucomv,97408,16 21 5 0 0,25 35 5 0 0,46 42 14 0 10,66 56 56 0 25,,,25 35 5 0 0,46 42 14 0 10,66 56 54 0 25,
ucona,111653,9 15 7 0 0,29 25 7 8 0,45 45 21 0 31,70 51 10 20 97,94 76 16 13 108,,29 25 7 8 0,45 45 21 3 31,70 51 9 21 97,94 76 10 15 110
uconc,98628,15 24 7 21 0,23 30 14 8 0,67 74 25 38 59,92 86 45 22 106,113 98 47 38 111,,24 30 14 8 0,67 74 25 38 59,92 86 45 22 107,117 98 47 38 114
ucons,98565,17 22 7 2 0,37 45 12 0 0,53 53 30 28 10,69 60 27 20 25,,,34 38 5 8 0,53 53 30 29 9,65 60 34 18 20,
ucont,104769,19 18 7 0 0,36 31 10 24 0,53 49 21 53 14,72 62 23 62 48,,19 24 7 0 0,36 31 10 25 0,53 49 20 52 14,72 68 25 61 52,
ucree,98514,15 10 0 0 0,22 21 1 0 0,56 48 38 10 22,76 53 20 18 65,,15 10 0 0 0,22 21 9 20 0,57 42 16 16 18,71 53 18 11 56,
udaho,103360,14 10 0 0 0,24 21 3 15 0,53 43 18 6 14,64 54 12 15 43,,14 10 0 0 0,25 21 5 0 0,51 43 9 10 15,57 48 10 0 22,
udaki,92173,15 23 12 7 0,25 23 3 4 0,41 46 34 66 7,64 57 25 68 34,,15 23 12 6 0,24 23 3 16 0,41 46 34 63 7,62 51 25 17 43,
udamw,99370,12 16 3 12 0,17 16 3 24 0,32 32 16 12 6,49 48 29 6 20,,,17 16 3 24 0,32 32 16 12 6,49 42 27 6 20,
udanc,110370,15 14 1 20 0,19 24 12 41 0,36 33 25 8 5,59 52 38 20 52,,15 14 1 20 0,22 24 7 16 0,35 33 20 8 5,58 52 25 6 47,
udanm,99462,12 13 7 14 0,19 18 9 28 0,33 36 21 47 5,53 54 29 36 49,,,20 18 7 28 0,33 31 10 47 4,52 54 21 21 47,
udeca,116800,11 12 0 0 0,26 25 1 0 0,56 43 1 0 13,80 56 0 0 58,84 75 9 103 100,,26 25 1 0 0,56 43 1 0 13,80 56 0 0 58,85 75 9 103 100
udoki,104226,14 21 7 0 0,38 36 10 0 0,65 51 10 3 21,76 58 45 6 31,97 101 18 15 76,,38 36 9 0 0,65 51 9 3 21,75 58 41 6 31,93 101 18 15 64
udond,NaN,NaN NaN NaN 6 NaN,NaN NaN NaN 8 NaN,NaN NaN NaN 6 NaN,NaN NaN NaN 24 NaN,,NaN NaN NaN 8 NaN,NaN NaN NaN 8 NaN,NaN NaN NaN 6 NaN,NaN NaN NaN 27 NaN,
udonp,106283,14 13 0 0 0,22 26 18 2 0,39 35 43 16 10,59 56 83 45 58,,14 13 0 0 0,21 21 18 1 0,39 35 43 16 10,58 52 58 42 47,
udors,93494,13 15 0 22 0,23 20 0 21 0,35 35 10 27 6,52 50 18 23 39,,11 15 1 18 0,20 20 0 7 0,35 35 10 27 6,52 50 18 22 38,
udreb,89453,10 13 3 0 0,21 23 18 0 0,45 41 18 31 31,66 64 7 33 100,,,21 23 18 0 0,44 36 10 31 27,66 64 7 22 101,
uegg,96358,15 15 1 0 0,25 21 1 11 0,40 31 16 43 4,59 47 21 26 36,,15 15 1 0 0,25 21 1 11 0,40 31 20 25 3,58 47 45 7 44,
uegyp,100154,15 25 5 0 0,26 34 9 47 0,59 68 45 3 6,76 68 20 0 18,,16 25 5 0 0,30 34 14 29 0,65 68 56 10 6,79 68 20 30 23,
uelfa,84702,16 28 10 7 0,25 28 16 0 0,43 49 34 29 2,70 85 34 29 48,,16 28 10 7 0,25 28 16 0 0,42 56 32 29 2,70 85 34 29 48,
uemis,98739,17 21 1 0 0,24 21 5 11 0,58 51 7 41 10,70 73 7 32 35,,16 14 0 11 0,24 21 0 11 0,60 58 1 18 13,66 58 1 43 27,
uetos,100776,16 16 3 11 0,25 26 1 13 0,48 42 20 18 16,58 48 18 47 36,74 64 45 52 100,,22 21 0 21 0,46 42 7 29 14,57 48 18 45 33,74 64 45 49 101
ueue,114194,19 25 12 14 0,30 36 29 50 0,50 41 29 55 17,53 46 63 67 32,,,30 36 29 50 0,50 41 30 56 17,53 46 60 66 32,
ufetb,101002,19 23 1 2 0,36 40 20 34 0,62 46 14 17 24,70 63 21 26 40,,,36 40 20 34 0,62 46 14 17 24,70 63 14 30 40,
ufift,106389,9 13 1 17 0,20 22 7 13 0,49 49 20 44 42,66 58 10 35 100,,,20 22 7 19 0,49 45 27 33 38,60 54 10 24 68,
ufire,101808,15 16 1 15 0,32 27 3 7 0,45 38 16 14 5,53 44 12 22 17,,15 16 1 15 0,31 27 7 34 0,45 38 16 21 5,53 44 14 18 17,
ufmgr,91499,11 9 1 0 0,20 18 0 23 0,41 36 5 27 11,56 50 10 42 44,86 64 1 2 105,,20 18 0 23 0,41 36 5 27 10,58 50 10 44 44,86 64 5 2 107
ufuzz,110089,15 20 3 0 0,38 40 21 30 0,62 53 41 25 18,77 67 20 42 38,,15 20 0 32 0,26 33 29 22 0,62 53 41 25 17,74 67 14 31 34,
ugein,87772,17 14 0 0 0,34 29 0 8 0,56 58 14 12 7,82 80 32 32 42,,17 14 0 0 0,34 29 0 8 0,56 58 14 23 7,81 72 30 36 44,
uglad,99857,19 23 0 7 0,29 29 0 41 0,50 40 14 0 7,60 64 74 0 19,93 81 14 0 100,14 17 5 40 0,33 35 1 15 0,50 40 27 0 7,57 46 1 49 16,81 75 29 4 71
uglam,102590,14 16 0 15 0,23 16 0 0 0,35 32 0 62 6,52 43 1 47 19,,,23 16 0 0 0,35 32 0 62 6,52 43 1 45 18,
uglan,92670,13 12 0 0 0,16 16 0 5 0,33 25 12 50 4,57 42 12 10 77,,12 12 0 0 0,19 16 0 5 0,31 21 14 6 3,57 42 0 10 65,
ugold,101072,18 16 0 19 0,26 21 9 35 0,40 43 40 19 6,60 54 56 18 29,,16 16 0 19 0,26 21 9 35 0,41 43 10 18 6,59 43 16 7 26,
ugoso,106074,14 15 5 0 0,30 25 1 0 0,39 36 7 16 4,55 51 47 1 25,,14 15 5 0 0,30 25 1 0 0,39 36 7 16 4,55 51 47 1 25,
ugred,102697,14 14 0 0 0,23 23 3 19 0,39 33 14 7 6,47 47 16 14 29,,14 14 0 0 0,23 23 3 19 0,39 33 14 10 6,44 37 34 2 10,
ugrls,96221,16 15 0 0 0,25 20 0 0 0,55 41 20 28 16,72 52 5 30 76,,11 10 0 0 0,22 20 3 0 0,52 41 7 11 14,68 52 16 19 39,
ugugu,99583,13 12 0 0 0,26 24 1 0 0,47 48 43 16 6,62 60 25 28 29,,13 12 0 0 0,26 24 1 0 0,47 48 43 16 6,62 60 25 28 29,
ugutt,110623,12 10 1 3 0,27 26 5 0 0,44 37 16 1 8,53 42 29 41 33,73 53 16 26 84,,26 26 7 0 0,44 37 16 1 8,53 42 29 41 33,73 53 16 26 84
uhahe,90459,15 16 5 0 0,17 27 5 55 0,42 32 9 24 8,77 54 18 0 79,,15 16 5 0 0,22 27 7 0 0,45 38 10 0 8,63 43 18 13 38,
uhand,118748,10 11 0 0 0,18 15 0 12 0,33 27 10 3 5,56 47 0 9 43,,,18 15 0 0 0,33 27 5 3 6,56 47 21 4 44,
uhate,104737,16 22 9 0 0,21 22 14 0 0,43 44 23 8 12,59 55 45 47 26,,16 22 3 0 0,24 22 10 14 0,45 44 25 26 10,64 50 40 37 29,
uheal,102549,16 24 1 0 0,27 40 1 23 0,44 49 25 45 7,71 73 41 37 27,,16 24 1 0 0,26 40 1 33 0,44 49 25 49 8,73 65 29 59 29,
uhebe,111818,12 11 1 0 0,18 14 9 0 0,34 29 7 54 12,44 36 9 47 41,,8 11 1 0 0,19 14 5 0 0,32 29 10 13 12,38 33 18 10 18,
uheyb,91762,22 35 1 6 0,38 42 27 13 0,51 56 78 57 5,55 56 67 55 12,,,39 42 27 13 0,51 56 78 57 5,55 56 67 55 12,
uhigr,89354,14 16 10 0 0,35 27 16 25 0,53 44 10 42 20,59 50 18 34 32,,18 16 0 11 0,36 33 18 27 0,51 39 16 42 19,58 44 21 32 33,
uhitt,105857,13 11 0 3 0,26 29 9 6 0,44 35 7 37 8,70 64 36 18 67,,,26 23 1 0 0,44 35 7 37 8,70 64 36 21 68,
uhoh,123429,24 29 9 0 0,49 58 20 15 2,71 58 16 29 22,96 101 20 26 92,,,49 43 9 18 3,72 58 9 29 23,93 87 14 23 72,
uhors,102302,21 20 1 18 0,28 26 9 12 0,46 40 29 51 4,79 53 14 60 40,,21 20 1 18 0,28 26 9 12 0,49 40 20 50 3,79 53 23 31 36,
uhotl,100764,19 19 1 0 0,39 32 3 15 0,55 45 5 14 10,73 58 30 12 52,81 71 54 7 89,18 19 1 0 0,30 32 1 25 0,55 45 20 17 12,73 58 52 15 50,81 71 49 7 88
uhoyi,99428,7 8 0 14 0,10 11 0 0 0,20 17 1 54 1,29 23 9 22 26,,,10 11 0 0 0,21 17 7 19 1,37 35 14 22 46,
uhund,98261,9 13 3 0 0,14 20 12 3 0,51 55 36 2 11,69 105 40 9 50,86 105 34 10 100,,15 27 10 3 0,51 55 36 2 11,65 105 41 10 48,85 105 34 10 100
uhyd,94997,17 18 1 12 0,23 30 1 18 0,51 48 10 2 11,64 60 21 11 52,,17 18 1 12 0,23 30 1 8 0,51 48 10 2 11,64 60 21 11 52,
uifda,106870,14 16 3 26 0,31 32 16 62 0,49 42 41 64 13,62 48 41 36 25,,14 16 3 26 0,31 32 16 57 0,49 42 40 63 13,62 48 38 38 25,
uigni,87718,16 18 3 12 0,23 30 9 17 0,42 36 1 2 6,59 60 16 33 19,,16 18 0 12 0,23 30 7 17 0,42 36 5 2 6,59 48 10 28 20,
uimco,107143,10 13 1 8 0,18 18 3 61 0,35 32 5 34 5,45 59 27 11 30,,,18 18 3 61 0,35 32 5 34 5,45 59 27 11 30,
uindi,98963,14 14 0 5 0,25 29 5 19 0,47 58 47 38 9,69 65 43 82 31,,14 14 0 5 0,25 29 5 19 0,47 58 47 39 9,63 65 34 43 31,
uinmo,107950,18 20 1 5 0,28 26 12 11 0,41 41 12 52 5,56 51 25 30 25,,19 20 1 5 0,28 26 12 11 0,41 41 10 52 5,54 46 12 45 28,
uinsp,95306,16 16 7 0 0,30 32 21 24 0,51 43 20 47 23,61 59 36 57 51,,,29 27 18 24 0,51 43 20 51 22,62 59 34 53 51,
uirep,92724,7 11 0 25 0,12 11 0 21 0,32 29 5 42 8,53 44 9 8 85,,,12 11 0 21 0,32 29 5 23 8,54 40 0 5 77,
uitri,91432,13 15 9 0 0,21 26 12 0 0,39 42 34 13 5,58 47 20 62 25,,11 15 0 0 0,22 26 10 0 0,44 36 9 11 7,58 47 12 60 25,
uiwis,102294,13 15 3 0 0,25 25 7 42 0,42 35 10 54 8,57 50 12 84 58,,12 15 1 0 0,24 30 5 35 0,39 35 5 53 7,51 45 10 49 31,
ujazz,100606,18 21 0 0 0,23 27 3 28 0,35 32 9 32 2,64 59 43 37 57,,18 21 0 0 0,24 27 3 28 0,35 32 9 32 2,60 54 56 49 47,
ujusp,117000,9 10 3 0 0,27 30 7 31 0,44 40 30 40 18,56 50 29 133 38,,,27 30 7 31 0,44 40 25 74 18,56 50 29 136 38,
ukean,96520,14 16 3 0 0,41 32 7 71 0,50 37 1 52 9,56 43 0 105 15,,14 16 3 0 0,41 32 7 75 0,50 37 12 52 9,57 43 0 94 16,
ukimo,96000,14 18 5 7 0,22 31 10 21 0,51 50 34 36 13,59 50 38 33 30,,,20 25 10 21 0,51 50 32 36 13,59 50 38 33 30,
ukobi,95791,15 24 0 7 0,25 30 5 7 0,37 48 20 33 5,53 48 23 31 23,66 72 36 53 44,15 24 0 7 0,28 24 7 29 0,44 36 0 19 13,57 48 50 13 22,70 66 34 41 40
ukoib,90156,17 23 1 0 0,33 31 12 9 0,44 46 34 3 7,54 62 41 13 17,,,32 31 14 6 0,44 62 45 3 9,54 54 27 5 16,
ukomo,104464,17 25 10 20 0,34 31 5 23 1,45 50 3 54 11,64 75 5 15 38,,,34 37 7 23 1,45 50 3 54 11,64 75 5 15 38,
ukool,92347,16 13 0 0 0,23 26 21 14 0,40 44 45 0 24,69 61 29 14 100,,16 17 1 0 0,23 26 18 10 0,41 44 40 0 24,69 61 32 14 101,
ulaev,93642,21 23 0 0 0,34 46 12 0 0,85 81 1 7 20,114 93 10 6 44,,,35 46 9 0 0,85 81 1 3 20,118 93 5 0 43,
ulatt,102485,18 23 1 7 0,32 29 1 4 0,38 35 14 70 1,56 52 25 30 31,,18 23 1 7 0,32 29 1 4 0,42 46 25 40 3,56 52 25 30 30,
ulbgt,101363,10 13 7 25 0,24 26 18 15 0,40 40 1 63 2,52 47 32 17 8,,,31 33 1 32 0,39 40 7 67 2,54 47 1 11 10,
ulest,100125,21 26 7 16 0,38 33 5 6 0,55 53 25 3 10,64 60 30 11 29,,12 13 5 3 0,28 26 3 6 0,52 53 12 6 13,61 53 23 6 22,
ulily,88612,16 21 5 0 0,37 43 41 14 0,60 43 32 22 21,80 65 3 15 72,,18 21 0 0 0,24 21 5 4 0,56 43 10 5 17,78 65 3 13 70,
ulims,90240,13 20 3 22 0,21 26 1 27 0,34 36 16 56 7,60 57 5 23 60,,,21 26 1 24 0,34 36 14 46 7,66 73 1 25 65,
ulmnt,104570,12 11 0 7 0,23 29 7 26 0,56 40 16 9 18,91 70 30 27 102,,,22 29 7 26 0,56 40 16 9 18,90 70 29 29 103,
ulond,108750,16 16 0 11 0,30 26 7 20 0,42 32 7 14 5,49 42 16 3 11,,16 16 0 11 0,30 26 7 20 0,42 32 7 14 5,50 42 12 14 15,
uloop,106647,15 16 5 7 0,23 25 3 7 0,47 50 30 42 4,73 66 16 0 23,,15 16 5 7 0,24 16 3 4 0,50 41 10 17 0,65 66 25 26 19,
